,Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN
0,2009-12-31,,,,,,,,,
1,2010-01-04,22.389127731323242,4.769999980926514,40.380001068115234,30.572856903076172,,26.6299991607666,8.739999771118164,26.129907608032227,42.06999969482422
2,2010-01-05,22.145923614501953,5.309999942779541,40.13999938964844,30.625713348388672,,26.440000534057617,8.529999732971191,25.91879653930664,42.33000183105469
3,2010-01-06,22.06723976135254,5.090000152587891,40.4900016784668,30.13857078552246,,26.190000534057617,8.399999618530273,26.06273651123047,42.779998779296875
4,2010-01-07,22.038625717163086,5.239999771118164,40.47999954223633,30.082857131958008,,25.770000457763672,8.399999618530273,26.27864646911621,42.7400016784668
5,2010-01-08,22.03147315979004,5.139999866485596,40.63999938964844,30.28285789489746,,26.049999237060547,8.229999542236328,26.41299057006836,42.56999969482422
6,2010-01-11,22.045780181884766,5.039999961853027,40.2400016784668,30.015714645385742,,26.34000015258789,8.079999923706055,26.547334671020508,42.529998779296875
7,2010-01-12,21.781116485595703,5.079999923706055,39.540000915527344,29.674285888671875,,26.520000457763672,7.889999866485596,26.470565795898438,42.2599983215332
8,2010-01-13,21.952789306640625,5.480000019073486,40.09000015258789,30.092857360839844,,27.040000915527344,7.960000038146973,26.52814292907715,42.7400016784668
9,2010-01-14,22.281831741333008,5.590000152587891,39.560001373291016,29.91857147216797,,27.209999084472656,8.25,26.556930541992188,43.119998931884766
10,2010-01-15,21.766809463500977,5.5,39.310001373291016,29.41857147216797,,26.920000076293945,8.050000190734863,26.624101638793945,42.810001373291016
11,2010-01-19,22.03147315979004,5.639999866485596,39.5,30.719999313354492,,27.3700008392334,8.350000381469727,26.964759826660156,43.75
12,2010-01-20,21.90987205505371,5.739999771118164,39.15999984741211,30.247142791748047,,27.139999389648438,8.479999542236328,26.983951568603516,43.5099983215332
13,2010-01-21,21.831188201904297,5.460000038146973,39.22999954223633,29.724285125732422,,26.579999923706055,8.510000228881836,26.65768814086914,43.09000015258789
14,2010-01-22,20.865522384643555,5.239999771118164,39.7400016784668,28.25,,26.65999984741211,8.449999809265137,26.153898239135742,42.18000030517578
15,2010-01-25,21.06580924987793,5.21999979019165,40.5,29.010000228881836,,27.110000610351562,8.25,26.245059967041016,41.880001068115234
16,2010-01-26,20.951358795166016,5.050000190734863,40.54999923706055,29.420000076293945,,27.440000534057617,8.149999618530273,26.139503479003906,41.83000183105469
17,2010-01-27,20.865522384643555,4.860000133514404,40.59000015258789,29.6971435546875,,27.260000228881836,8.270000457763672,25.86121940612793,41.93000030517578
18,2010-01-28,20.522174835205078,5.139999866485596,39.77000045776367,28.469999313354492,,27.280000686645508,8.180000305175781,25.885210037231445,41.290000915527344
19,2010-01-29,20.050071716308594,5.309999942779541,39.45000076293945,27.437143325805664,,27.260000228881836,7.920000076293945,25.400611877441406,40.9900016784668
20,2010-02-01,20.836910247802734,5.599999904632568,40.4900016784668,27.818571090698242,,27.75,7.929999828338623,25.592531204223633,41.189998626708984
21,2010-02-02,21.101573944091797,5.960000038146973,41.189998626708984,27.979999542236328,,28.549999237060547,8.029999732971191,26.120311737060547,41.619998931884766
22,2010-02-03,21.130186080932617,5.659999847412109,41.189998626708984,28.461427688598633,,28.31999969482422,8.010000228881836,26.2210693359375,41.599998474121094
23,2010-02-04,20.793991088867188,5.489999771118164,40.93000030517578,27.435714721679688,,27.420000076293945,8.270000457763672,25.82283592224121,40.61000061035156
24,2010-02-05,20.865522384643555,5.889999866485596,40.720001220703125,27.9228572845459,,27.010000228881836,8.430000305175781,25.894805908203125,40.540000915527344
25,2010-02-08,20.886981964111328,5.929999828338623,40.810001373291016,27.731428146362305,,26.950000762939453,8.859999656677246,25.59733009338379,40.16999816894531
26,2010-02-09,21.037195205688477,6.440000057220459,41.56999969482422,28.027143478393555,,27.15999984741211,9.34000015258789,25.59733009338379,40.2400016784668
27,2010-02-10,20.922746658325195,6.309999942779541,42.33000183105469,27.874286651611328,,27.190000534057617,9.520000457763672,25.554147720336914,40.02000045776367
28,2010-02-11,21.00143051147461,6.320000171661377,42.54999923706055,28.381427764892578,,27.520000457763672,9.59000015258789,25.688491821289062,40.27000045776367
29,2010-02-12,21.444921493530273,6.809999942779541,42.810001373291016,28.625713348388672,,27.350000381469727,9.65999984741211,25.875614166259766,40.4900016784668
30,2010-02-16,21.63805389404297,6.880000114440918,42.630001068115234,29.05714225769043,,27.56999969482422,9.8100004196167,26.19228172302246,40.84000015258789
31,2010-02-17,21.90987205505371,6.800000190734863,42.880001068115234,28.935714721679688,,27.59000015258789,9.859999656677246,26.26905059814453,40.790000915527344
32,2010-02-18,22.160228729248047,6.730000019073486,40.150001525878906,28.989999771118164,,27.860000610351562,9.989999771118164,26.374605178833008,41.310001373291016
33,2010-02-19,22.317596435546875,6.929999828338623,40.0,28.809999465942383,,28.139999389648438,9.949999809265137,26.091524124145508,40.869998931884766
34,2010-02-22,22.281831741333008,7.019999980926514,40.2400016784668,28.631427764892578,,27.889999389648438,10.020000457763672,26.101119995117188,40.70000076293945
35,2010-02-23,22.06723976135254,7.090000152587891,40.220001220703125,28.15142822265625,,27.75,10.029999732971191,25.894805908203125,40.2599983215332
36,2010-02-24,22.33905601501465,7.170000076293945,40.459999084472656,28.665714263916016,,27.889999389648438,9.989999771118164,26.067533493041992,40.279998779296875
37,2010-02-25,22.23891258239746,7.079999923706055,40.72999954223633,28.85714340209961,,28.079999923706055,10.109999656677246,25.96677589416504,39.75
