,qy,balance,umcsent,sales,permit,rate,value,cpi,money,dspic96,bondprice,loadfactor,mkvaltq,epsfxq,revtq,price,share_outstanding,avg_fuel_price_per_gallon,available_seat_miles(asm),fuel_consumed,total_aircraft_in_service,operating_expense_per_asm,passenger_load_factor,passenger_rev_per_asm,passanger_rev,passenger_rev_per_rpm,revenue_passenger_miles(rpm),fuel_expense,total_revenue_per_asm,date,mkval_target
0,2010Q1,-105640,73.86666666666666,311106.0,657.6666666666666,9.833333333333334,3.4,217.374,8475.669230769232,11619.766666666668,3.7045409836065577,78.13333333333334,8914.806023419109,-0.3049055511207327,5774.274080181518,17.889868979217056,592181144.0943085,,44920078.67307152,734453.9018105066,830.0368864771851,,79.68628006903526,11.14464098400126,4954.590848888578,13.979513364941642,35764646.179503515,1452.8532630178522,12.87668222977313,2010-03-31,
1,2010Q2,-111344,73.93333333333334,316406.0,599.6666666666666,9.633333333333333,5.6,217.29733333333334,8564.646153846155,11811.199999999999,3.4735538461538464,83.19,6980.1864896271745,0.8501554324114668,6619.486212078156,17.406625521833966,552508708.293834,,47314365.715420425,778480.887306842,793.9537271031087,,84.48352868772612,12.2873973799263,5749.997874227909,14.54372894620608,40129793.937600955,1648.1012802132911,14.00134510356828,2010-06-30,6980.1864896271745
2,2010Q3,-115299,68.3,317601.6666666667,574.0,9.466666666666667,4.0,217.93433333333334,8646.261538461536,11895.300000000001,2.7714242424242435,84.46,6894.179925753426,1.1371564719816418,7039.241577118934,19.71721782909179,530865871.77744335,,49896458.2764575,825102.5588659269,696.4966385553714,,85.7525776900488,12.575807959294414,6196.2478270453175,14.66183455818306,42848806.995633736,1671.166162752569,14.147714756838543,2010-09-30,6894.179925753426
3,2010Q4,-98983,71.26666666666667,327139.6666666667,583.3333333333334,9.500000000000002,4.7,219.69899999999998,8758.823076923078,11961.933333333334,2.8600757575757574,81.01,8550.11071957803,-0.20837119168673074,7340.698154612879,21.78168777314458,526230528.99236006,,53861487.47326955,873721.4467940057,925.0026384388583,,81.65765269836692,11.848109720440416,6351.1075816178545,14.506423626103102,43922922.77893007,1960.224743863433,13.61328717990394,2010-12-31,8550.11071957803
4,2011Q1,-115847,73.06666666666666,334916.3333333333,567.0,9.033333333333333,1.5,222.0436666666667,8865.261538461538,12083.966666666665,3.440984374999999,77.18333333333334,7231.428243164799,-0.1942547611185587,7087.758326933849,22.47876764594541,519343113.1026999,272.1695073201505,51725101.24614467,832996.8547743522,922.4106537374296,13.499978501594693,77.82136710910751,11.880425849448045,6118.934193268889,15.273791423273376,39982331.04235212,2133.117715161587,13.689880471191525,2011-03-31,7231.428243164799
5,2011Q2,-117269,71.86666666666666,340346.0,611.6666666666666,9.066666666666668,5.6,224.5683333333333,9030.823076923078,12057.533333333333,3.1874615384615383,83.12333333333333,6916.157044520605,0.798698123147394,8282.374225053085,23.207445001283986,516127329.02544844,327.212722568087,54979109.92386803,891045.6428456401,911.9874742054856,14.132352736675795,83.65481127581727,13.234165340805003,7251.010933856491,15.81680634963914,45965285.99817489,2591.3008898753283,15.11531006566112,2011-06-30,6916.157044520605
6,2011Q3,-104792,59.666666666666664,343066.0,626.0,9.0,3.1,226.03266666666664,9439.061538461536,12110.233333333332,2.4035454545454535,84.47666666666667,5803.491552197767,1.2983986613966239,8829.959842062144,19.81111820809452,513956886.4947005,324.8511652053429,57384591.67921746,929124.7084501623,913.202969794082,13.236075570413673,85.80389273176955,13.641792244014656,7787.098728903937,15.895576769719378,49197470.7496195,2768.999234748252,15.398610740632925,2011-09-30,5803.491552197767
7,2011Q4,-107755,64.8,349014.0,691.3333333333334,8.633333333333333,5.7,227.0473333333333,9603.907692307692,12147.833333333334,2.0310769230769234,80.81,5889.328365208386,0.35354726372400724,7347.702828428952,23.909208437886463,504857860.8849588,305.014757657533,49095055.80428232,790336.0555125938,859.9202405432729,14.007880133749364,82.1350400950054,13.01985149263146,6382.534628188418,15.856581556671237,40100851.6669451,2150.173280616287,14.880741282447659,2011-12-30,5889.328365208386
8,2012Q1,-115491,75.5,356235.0,752.0,8.266666666666667,5.3,228.32600000000002,9766.7,12375.233333333332,2.021092307692308,78.61,7084.213931254174,-0.39183215492059553,7446.949112975473,18.47298522613221,532282593.2048901,321.5070420182303,50120469.282992825,807108.011930747,885.0324607880943,14.511673032163158,79.7987376730986,12.898374552396614,6451.929701793817,16.17957434404188,39601811.54379595,2358.3059919575326,14.794465693961293,2012-03-30,7084.213931254174
9,2012Q2,-111579,76.3,355052.0,774.0,8.2,2.8,228.808,9907.892307692307,12487.766666666668,1.8080307692307696,84.08333333333333,7953.231747839296,0.38187115315537934,8725.351869638298,19.749265609355923,542370705.1883277,342.7369169098173,54901525.267820165,884668.1107201653,890.0543207199105,15.190644232754803,84.95811146890985,13.837280726074633,7631.509624151833,16.289021535412548,46529519.72513543,2978.7939372952806,15.842784427435845,2012-06-29,7953.231747839296
10,2012Q3,-100661,74.96666666666665,357820.0,873.0,8.033333333333333,2.6,229.841,10106.384615384615,12398.4,1.6246031746031748,85.00333333333333,6492.780676333541,0.9184766295593602,8629.89142994743,16.97044983498502,534590326.13633025,314.4331406414647,55573512.51303153,903937.0802049115,840.0950932412138,13.937733031804857,86.01194903107049,13.631128316848617,7593.899055059553,15.84207083933237,47730294.24382378,2397.195422633312,15.516687040975336,2012-09-28,6492.780676333541
11,2012Q4,-99102,79.4,363147.0,915.0,7.8,2.4,231.36933333333334,10336.828571428572,12741.933333333334,1.691803278688524,81.69666666666667,8196.83276237018,-0.6025055960973724,7541.245847547103,20.414084812066093,542697245.218744,328.09745053631013,48936150.73152868,797159.8962668579,836.6616522523896,14.422557758156783,83.23597942724486,13.23338432712282,6524.217026988088,15.902351725457276,40573223.817869246,2356.574350015615,15.294061962691398,2012-12-31,8196.83276237018
12,2013Q1,-94304,76.66666666666666,369558.6666666667,952.0,7.733333333333333,4.9,232.29933333333335,10486.858333333332,12231.966666666667,1.9323666666666675,80.22,11411.920363234736,-0.3770065541087124,7457.562895765177,29.532061404623985,543236079.4463643,331.560450937183,47742775.924601234,775644.0659819981,833.763678759836,15.289814318454022,81.75805225438697,13.35053078590082,6446.658735280824,16.33304881794758,38811281.63711717,2526.2899724030162,15.44676573215827,2013-03-28,11411.920363234736
13,2013Q2,-90791,81.66666666666667,369235.6666666667,985.6666666666666,7.533333333333334,2.0,232.045,10610.26923076923,12323.033333333333,2.002608108108108,83.81,12835.828461698493,1.0237623845995683,8779.69152265754,27.02748062119705,579566930.0213532,305.8548570832853,54796220.643625736,887409.2744147924,942.9640317008068,14.408066394170245,84.9602146235532,13.842275199966762,7652.248837053767,16.29569809418837,46466003.24410624,2757.6869381238425,15.887389487485768,2013-06-28,12835.828461698493
