qy,balance,umcsent,sales,permit,rate,value,cpi,money,dspic96,bondprice,eps,revenue,eps_growth,revenue_growth,avg_fuel_price_per_gallon,available_seat_miles(asm),fuel_consumed,total_aircraft_in_service,operating_expense_per_asm,passenger_load_factor,passenger_rev_per_asm,passanger_rev,passenger_rev_per_rpm,revenue_passenger_miles(rpm),fuel_expense,total_revenue_per_asm,target,target_plus1
2011Q2,-117269,71.86666666666666,340346.0,611.6666666666666,9.066666666666668,5.6,224.5683333333333,9030.823076923078,12057.533333333333,3.1874615384615383,0.797756730008116,8268.578144462943,-2.1167705152292187,0.17773792325579962,327.3563620085575,54886761.633720055,889528.8771572035,910.2360960538168,14.132719259733788,83.65624818810433,13.234716104598478,7238.828393236598,15.817215121545939,45888315.900814965,2586.764561401504,15.114935830796261,14.607178839836228,12.181446005487151
2011Q3,-104792,59.666666666666664,343066.0,626.0,9.0,3.1,226.03266666666664,9439.061538461536,12110.233333333332,2.4035454545454535,1.3019357348720424,8793.938185199113,1.1125394235150354,0.06289889133930059,325.2260059097787,57149974.98986362,925234.4346079916,909.5333315816223,13.212333483462201,85.80742092468589,13.644456294128364,7755.487882526515,15.89798423133491,48996780.9599662,2757.7923067365077,15.398981771365575,12.181446005487151,12.990524703260917
2011Q4,-107755,64.8,349014.0,691.3333333333334,8.633333333333333,5.7,227.0473333333333,9603.907692307692,12147.833333333334,2.0310769230769234,0.3488732059661209,7363.899587049509,-0.6235172748003308,-0.13288033917668374,305.082605814963,49205326.01342393,792126.8851260158,862.2646085482885,14.011884869848597,82.12846953455983,13.01929937311891,6396.655523289613,15.857188299871098,40190182.368314356,2156.191785120107,14.881417439522501,12.990524703260917,14.474687932126468
2012Q1,-115491,75.5,356235.0,752.0,8.266666666666667,5.3,228.32600000000002,9766.7,12375.233333333332,2.021092307692308,-0.3884054438744326,7445.5504058163815,0.4629204664188884,-0.014324375895199182,321.45722196700945,50100978.60320371,806822.9279051003,883.8269720934999,14.51159645022687,79.80299979239828,12.900205563892374,6450.468726019359,16.181016644503156,39588506.789582156,2355.8280187792966,14.796994587330378,14.474687932126468,15.90997981075275
2012Q2,-111579,76.3,355052.0,774.0,8.2,2.8,228.808,9907.892307692307,12487.766666666668,1.8080307692307696,0.38627728627841684,8727.212646541811,-1.6754738632949577,0.1575804089549695,342.6967645876349,54929350.853905834,885048.1157386146,892.1403419796052,15.183964925386155,84.95461621112207,13.83464981834888,7633.697327381041,16.286525496546528,46551172.69674451,2979.559707869593,15.83870905963132,15.90997981075275,13.356702220966582
2012Q3,-100661,74.96666666666665,357820.0,873.0,8.033333333333333,2.6,229.841,10106.384615384615,12398.4,1.6246031746031748,0.9146966112612211,8642.747146852218,-3.493756516335648,0.015131552796626029,314.45502515925807,55660299.09272073,905381.6827680395,841.8675593005613,13.942012802856368,86.00899154489409,13.630941502652282,7605.35117451585,15.842358460599897,47803791.02294186,2402.1866974216377,15.515920069371006,13.356702220966582,16.67488437117726
2012Q4,-99102,79.4,363147.0,915.0,7.8,2.4,231.36933333333334,10336.828571428572,12741.933333333334,1.691803278688524,-0.6022335466220727,7556.160777792921,-35.732524490995274,-0.12555839196171872,328.05656442232316,49026426.01995048,798701.749058886,837.3346679028984,14.434929401973527,83.232549543428,13.236434362216027,6537.103555869445,15.906586909663902,40648578.10771108,2360.0745022467067,15.297635608586635,16.67488437117726,23.286113426307807
2013Q1,-94304,76.66666666666666,369558.6666666667,952.0,7.733333333333333,4.9,232.29933333333335,10486.858333333332,12231.966666666667,1.9323666666666675,-0.37561618677189496,7443.172615070019,-0.14418314408910426,-0.004814779876923362,331.6264610610401,47653810.744183406,774133.3970693488,832.5277757249944,15.285483367139907,81.76566469147946,13.347654957495664,6434.2335825489345,16.32817521502403,38739626.68927419,2521.4934355118457,15.443463374880723,23.286113426307807,23.895684727712034
2013Q2,-90791,81.66666666666667,369235.6666666667,985.6666666666666,7.533333333333334,2.0,232.045,10610.26923076923,12323.033333333333,2.002608108108108,1.023383840697549,8785.235297671246,41.57530692871524,0.13971100374445133,305.8377999639807,54830121.791364364,887979.417414992,943.4911027622267,14.409374183148142,84.95915867164601,13.843156900698983,7657.095893199028,16.296922976208133,46494655.6572319,2759.4598394500044,15.888316421014286,23.895684727712034,27.686128691243535
2013Q3,-88116,81.56666666666666,372688.0,988.3333333333334,7.233333333333333,5.4,233.29999999999998,10773.421428571426,12376.300000000001,2.698358024691357,1.7085984514303068,9287.184633874736,0.7222461664849751,0.0633849558318379,302.84285436558093,57479113.593884595,934160.2576216405,923.5290950689367,14.058034741136682,86.03073156919747,14.082099399464763,8156.194024957805,16.37707308640604,49410545.62469348,2662.2117838341123,16.081134862068396,27.686128691243535,32.86019180781763
