gvkey,indfmt,consol,popsrc,fyr,datafmt,ogaspnglq,ogaspnglq_dc,ogaspngq,ogaspngq_dc,ogaspoilq,ogaspoilq_dc,ogpngdq,ogpngdq_dc,ogpngldq,ogpngldq_dc,ogpnglq,ogpnglq_dc,ogpngq,ogpngq_dc,ogpoildq,ogpoildq_dc,ogpoilq,ogpoilq_dc,ogxdhq,ogxdhq_dc,ogxpxq,ogxpxq_dc,orcaptq,orcaptq_dc,orcapuq,orcapuq_dc,orfmq,orfmq_dc,orfsitesq,orfsitesq_dc,orfvolq,orfvolq_dc,ormmq,ormmq_dc,ormsaleq,ormsaleq_dc,orpsdq,orpsdq_dc,orpsgq,orpsgq_dc,orpsoq,orpsoq_dc,orpspq,orpspq_dc,orpstq,orpstq_dc,orpydq,orpydq_dc,orpygq,orpygq_dc,orpyoq,orpyoq_dc,orpypq,orpypq_dc,orpytq,orpytq_dc,orttq,orttq_dc,datadate,tic
002991,INDL,C,D,12,STD,,,,,,,5165000.0000,,,4,,3,,3,1678.0000,,,3,105.0000,,315.0000,,,,,,,,,,,,,,,,,,962.0000,,,,,,2749.0000,,,,,,,,,,,,1719.0000,,20150930,CVX
002991,INDL,C,D,12,STD,,,,,,,5385000.0000,,,4,,,,,1775.0000,,,,1044.0000,,1358.0000,,1835.0000,,90.0000,,,,,,,,,,,,,,,,,,,,2700.0000,,,,,,,,,,,,1699.0000,,20151231,CVX
002991,INDL,C,D,12,STD,,,,,,,5310000.0000,,,4,,3,,3,1781.0000,,,3,262.0000,,370.0000,,,,,,,,,,,,,,,,,,976.0000,,,,,,2646.0000,,,,,,,,,,,,1752.0000,,20160331,CVX
002991,INDL,C,D,12,STD,,,,,,,5031000.0000,,,4,,3,,3,1689.0000,,,3,72.0000,,214.0000,,,,,,,,,,,,,,,,,,991.0000,,,,,,2712.0000,,,,,,,,,,,,1719.0000,,20160630,CVX
002991,INDL,C,D,12,STD,,,,,,,5113000.0000,,,4,,3,,3,1661.0000,,,3,138.0000,,258.0000,,,,,,,,,,,,,,,,,,1031.0000,,,,,,2713.0000,,,,,,,,,,,,1760.0000,,20160930,CVX
002991,INDL,C,D,12,STD,,,,,,,5546000.0000,,,4,,,,,1745.0000,,,,17.0000,,191.0000,,1793.0000,,92.0000,,,,,,,,,,,,,,,,,,,,2629.0000,,,,,,,,,,,,1522.0000,,20161231,CVX
002991,INDL,C,D,12,STD,,,,,,,5807000.0000,,,4,,3,,3,1708.0000,,,3,7.0000,,144.0000,,,,,,,,,,,,,,,,,,915.0000,,,,,,2598.0000,,,,,,,,,,,,1665.0000,,20170331,CVX
002991,INDL,C,D,12,STD,,,,,,,6171000.0000,,,4,,3,,3,1751.0000,,,3,12.0000,,125.0000,,,,,,,,,,,,,,,,,,987.0000,,,,,,2688.0000,,,,,,,,,,,,1654.0000,,20170630,CVX
002991,INDL,C,D,12,STD,,,,,,,5985000.0000,,,4,,3,,3,1719.0000,,,3,121.0000,,239.0000,,,,,,,,,,,,,,,,,,1001.0000,,,,,,2781.0000,,,,,,,,,,,,1732.0000,,20170930,CVX
002991,INDL,C,D,12,STD,,,,,,,6162000.0000,,,4,,,,,1713.0000,,,,58.0000,,356.0000,,1738.0000,,93.0000,,,,,,,,,,,,,,,,,,,,2690.0000,,,,,,,,,,,,1595.0000,,20171231,CVX
002991,INDL,C,D,12,STD,,,,,,,6593000.0000,,,4,,,,,1753.0000,,,,45.0000,,158.0000,,,,,,,,,,,,,,,,,,933.0000,,,,,,2621.0000,,,,,,,,,,,,1642.0000,,20180331,CVX
