date,allEmployeesChemicals_CHEM,capacityUtilization_CHEM,industrialCapacityChem_CHEM,industrialProdChem_CHEM,industrialProductionChemProd_CHEM,pPIChemicalManufac_CHEM,pPIPaintMaterialsChem_CHEM,ratioManufacturersInvtoShipChem_CHEM,valueManufacturersShipmentsChem_CHEM,cPIFuelOil_OIL,capUtilizationOilGasExtraction_OIL,employeesOilGasExtraction_OIL,globalBrentCrude_OIL,globalWTICrude_OIL,industrialProdCrudeOil_OIL,industrialProdDrilling_OIL,industrialProdMachinery_OIL,industrialProdOilGasExtraction_OIL,pPIDrillingOilGas_OIL,pPIOilGasExtraction_OIL,pPIOilGasMachinery_OIL,pPIPipelineTransCrudeOil_OIL,wTISpotPriceFOB_OIL,airRevenueFreightMail_AIR,airTransportation_AIR,cPIAirlineFares_AIR,pPAirlinePassengerServices_AIR,pPCarRental_AIR,pPFlightBookings_AIR,pPScheduledPassenger_AIR,uS_Jet_Fuel_Spot_Price_AIR,airlineGT_AIR,advanceRetailSales_ECON,consumerOpinionSurvey_ECON,consumerPriceIndex_ECON,consumerSentiment_ECON,interbankRates90day_ECON,leadingIndicatorsOECD_ECON,moneyStockM2_ECON,permit_ECON,realDisposableInc_ECON,uS10YearBondYield_ECON,unemploymentRate_ECON,allEmployeesFinanceInsurance_OTHERS,exportPriceIndPharma_OTHERS,industrialProdPharma_OTHERS,personalConsumptionExpendituresFinServInsurance_OTHERS,producerPriceIndexPharma_OTHERS,epsfxq_JBHT_OTHERS_FUNDAM,revtq_JBHT_OTHERS_FUNDAM,epsfxq_ODFL_OTHERS_FUNDAM,revtq_ODFL_OTHERS_FUNDAM,epsfxq_RE_OTHERS_FUNDAM,revtq_RE_OTHERS_FUNDAM,market_TARGET_RELATIVE,specialty_TARGET_RELATIVE,non-specialty_TARGET_RELATIVE,upstream_TARGET_RELATIVE,midstream_TARGET_RELATIVE,downstream_TARGET_RELATIVE,integrated_TARGET_RELATIVE,services_TARGET_RELATIVE,legacy_TARGET_RELATIVE
2010-03-31,789.3333333333334,69.293,145.6199,100.90446666666666,105.18430000000001,230.66666666666666,219.5666666666667,1.2133333333333332,56323.666666666664,278.0536666666667,94.01603333333333,156.53333333333333,76.6663878536922,78.64520841959973,83.35973333333334,69.52393333333333,60.676899999999996,83.98766666666667,315.6333333333333,259.93333333333334,246.83333333333334,246.33333333333334,78.80704918032788,2910235.3333333335,462.70000000000005,271.912,101.66666666666667,202.83333333333334,94.60000000000001,251.9,2.0567666666666664,37.666666666666664,311106.0,98.45834164936059,217.374,73.86666666666666,0.20666666666666667,99.40858334687499,8475.300000000003,657.6666666666666,11619.766666666668,3.7045409836065577,9.833333333333334,5770.833333333333,118.23333333333335,105.69883333333333,92.035,324.90000000000003,0.29,844.673,0.21,317.795,-0.38,1169.912,1.0,-12.137835511258071,-4.514643862027569,3.617038456838636,-12.892609124177364,-39.843382649090174,7.683027278718385,-1.4279411685023427,-35.57636983328799
2010-06-30,786.8333333333334,70.3383,144.71656666666664,101.79043333333334,104.3628,233.36666666666667,219.66666666666666,1.2166666666666666,57949.666666666664,272.06899999999996,93.55040000000001,158.13333333333333,78.67259018759022,77.86350649350653,82.73776666666667,71.97006666666665,63.57723333333333,84.25913333333334,318.43333333333334,231.16666666666666,247.0666666666667,255.26666666666665,77.81603174603174,3068738.3333333335,459.6666666666667,275.66800000000006,104.53333333333335,181.4333333333333,95.7,259.3666666666666,2.1209523809523816,38.666666666666664,316406.0,98.42255714260982,217.29733333333334,73.93333333333334,0.42333333333333334,99.6609441987943,8564.276923076925,599.6666666666666,11811.199999999999,3.4735538461538464,9.633333333333333,5758.733333333334,119.66666666666667,104.35430000000001,93.20299999999999,325.6,0.4,942.776,0.58,368.25,2.7,1099.431,1.0,12.43918450267323,87.47127619011867,-19.293679285198312,6.879469101149404,-0.11747002153951826,13.00177163261003,36.187347831581214,-52.887686133286984
2010-09-30,785.2333333333332,70.7625,143.70613333333333,101.68979999999999,102.92049999999999,233.9333333333333,224.63333333333335,1.2,59768.333333333336,263.4216666666667,95.25836666666665,159.43333333333334,76.4051515151515,76.0069696969697,85.1855,70.70206666666667,66.8959,86.56596666666667,330.8,229.26666666666665,246.9333333333333,267.6333333333333,76.06203124999999,3096034.6666666665,456.06666666666666,279.109,103.03333333333335,204.46666666666667,95.7,255.46666666666667,2.0723281250000003,32.666666666666664,317601.6666666667,97.9530989646916,217.93433333333334,68.3,0.33666666666666667,99.5841733309703,8645.953846153847,574.0,11895.300000000001,2.7714242424242435,9.466666666666667,5755.5,121.73333333333333,101.04203333333334,93.175,329.1333333333334,0.41,986.024,0.44,395.981,3.11,1178.09,1.0,1.8736309314992985,-2.5211242958764326,1.0531548975117369,2.8372635351381645,2.709027039679417,1.4733105306963665,0.8497344705159021,2.4764750529010975
2010-12-31,783.6333333333333,70.8025,142.60146666666665,100.96363333333333,103.1637,236.9,230.66666666666666,1.2166666666666666,61065.666666666664,286.985,95.43746666666668,161.29999999999998,86.79487232574188,85.10494008407052,85.73033333333332,73.80066666666667,70.49233333333333,87.60329999999999,338.8666666666667,241.79999999999998,247.36666666666667,286.6,85.16046875000002,3100765.0,455.0333333333333,286.4243333333333,101.76666666666667,189.1,95.7,252.13333333333333,2.343203125000001,28.333333333333332,327139.6666666667,98.20861892314595,219.69899999999998,71.26666666666667,0.28,99.91261643706902,8758.461538461539,583.3333333333334,11961.933333333334,2.8600757575757574,9.500000000000002,5759.666666666667,124.3,102.16536666666666,93.89299999999999,331.8666666666667,0.46,1020.012,0.39,398.972,5.51,1258.374,1.0,1.860199949612461,3.010830156127138,1.3169948301962215,1.6431233161636118,1.7013224220355776,1.4337878780930193,2.9672194098241134,2.16946896442987
2011-03-31,781.9333333333334,71.8178,141.5044,101.6241,104.11906666666668,245.0666666666667,243.30000000000004,1.2166666666666666,63843.333333333336,317.4273333333333,93.01006666666667,164.53333333333333,104.89702208419597,93.930695652174,83.77506666666666,77.96853333333333,73.57333333333332,86.37373333333333,349.73333333333335,265.46666666666664,249.0666666666667,257.6,94.06612903225808,3139982.6666666665,453.9666666666667,304.05833333333334,107.76666666666665,188.4,95.7,267.6,2.8742580645161295,34.333333333333336,334916.3333333333,98.44996911452277,222.0436666666667,73.06666666666666,0.2833333333333334,100.27139707718533,8865.0,567.0,12083.966666666665,3.440984374999999,9.033333333333333,5757.833333333333,123.03333333333335,102.53266666666667,94.869,339.40000000000003,0.4,1000.78,0.38,422.679,-5.81,1206.445,1.0,1.3437529767678755,1.834762993913,2.2247250861865,2.7754139867278944,4.739202380476259,2.1367501080209204,2.6028837180471838,-0.930748216493573
2011-06-30,783.2999999999998,71.8767,140.59603333333334,101.05613333333332,105.88163333333334,252.13333333333333,255.6,1.21,66260.66666666667,343.5316666666667,94.69056666666667,170.4,117.12212842712832,102.51610389610397,86.05666666666667,85.45593333333333,76.01123333333332,89.1272,357.7,289.53333333333336,252.5,254.4,102.02174603174603,3116185.6666666665,456.1666666666667,296.65933333333334,110.73333333333333,168.4,95.7,274.96666666666664,3.1290952380952386,33.666666666666664,340346.0,98.1084691619346,224.5683333333333,71.86666666666666,0.22,99.97966442012489,9030.523076923077,611.6666666666666,12057.533333333333,3.1874615384615383,9.066666666666668,5763.566666666667,123.73333333333333,103.05173333333333,95.956,339.46666666666664,0.53,1149.855,0.69,480.255,2.41,1176.791,1.0,0.8028140087056664,-0.4487033704149723,0.3902241900750229,1.122841067646384,0.23751697372452293,0.321480835451873,-0.11391293010073648,-1.1429890490482668
2011-09-30,785.4333333333334,72.3324,140.11870000000002,101.35106666666667,107.02576666666666,255.66666666666666,266.0333333333333,1.24,66191.33333333333,345.4956666666667,94.044,174.36666666666667,112.996358303532,89.71064401781793,86.75363333333333,92.50563333333334,81.63576666666665,89.91346666666668,368.23333333333335,273.9666666666667,255.69999999999996,262.8,89.49296874999999,3072062.0,458.73333333333335,311.824,110.96666666666665,214.96666666666667,95.7,275.3666666666667,3.0267812500000013,33.0,343066.0,96.99858481615779,226.03266666666664,59.666666666666664,0.2866666666666667,99.31475668825273,9438.915384615386,626.0,12110.233333333332,2.4035454545454535,9.0,5770.966666666667,124.73333333333335,102.8182,96.544,343.4666666666667,0.57,1171.27,0.67,494.475,1.16,1024.794,1.0,3.6916051990325363,-0.021275674616066824,3.708997618691949,1.7903855392775256,-1.4646334791580145,1.8656102703650974,1.8582438730364366,5.096441620657304
2011-12-31,782.6666666666666,72.3164,140.18476666666666,101.37646666666667,105.96953333333333,255.4,279.36666666666673,1.2666666666666666,65707.0,343.633,96.4728,179.0,109.31437950937966,94.0282756132756,91.19163333333334,97.31543333333333,87.1191,93.91766666666666,375.3333333333333,269.5333333333333,256.3,262.8,94.01523809523809,3024484.6666666665,458.56666666666666,303.954,111.16666666666667,150.46666666666667,95.7,275.8666666666667,2.9614920634920643,27.666666666666668,349014.0,97.48575114448825,227.0473333333333,64.8,0.42333333333333334,99.37153241041382,9603.676923076922,691.3333333333334,12147.833333333334,2.0310769230769234,8.633333333333333,5783.466666666667,123.40000000000002,105.2636,96.53399999999999,345.43333333333334,0.61,1204.937,0.69,485.132,0.76,1285.931,1.0,-18.912236832703382,-113.77755791433422,-5.969801559680446,43.156338081784405,-63.663266307223616,15.065188111786906,-57.992490445937555,-3.3428872276732005
2012-03-31,782.9333333333334,72.304,140.70123333333333,101.73186666666668,104.83053333333334,259.93333333333334,287.3333333333333,1.2299999999999998,66467.0,339.22566666666665,97.43453333333332,182.83333333333334,118.541551226551,102.85398268398266,95.23213333333335,99.76776666666666,96.72683333333333,96.82216666666666,382.3666666666666,260.40000000000003,257.93333333333334,264.3,102.98419354838705,3045505.0,460.70000000000005,307.551,115.16666666666667,150.96666666666667,95.66666666666667,286.36666666666673,3.1857096774193563,30.666666666666668,356235.0,98.64882186456227,228.32600000000002,75.5,0.33,99.88440148383866,9766.43846153846,752.0,12375.233333333332,2.021092307692308,8.266666666666667,5806.166666666667,123.93333333333332,103.91123333333333,98.71799999999999,355.8,0.57,1165.922,0.54,502.819,5.68,1249.124,1.0,2.0285782224744344,1.406637580419556,0.8700389285449058,0.25900881665786574,1.5214988385468275,0.7392122698498944,0.7421299887807506,1.1562532937115098
2012-06-30,781.7333333333332,70.9552,141.46363333333332,100.3746,101.80226666666665,261.2,301.73333333333335,1.2433333333333334,64975.666666666664,336.49033333333335,96.26813333333332,186.76666666666665,108.90057971014487,93.38358868184963,97.35133333333334,101.45700000000001,103.02596666666666,97.88736666666667,392.8333333333333,227.83333333333334,261.03333333333336,261.0,93.2887301587302,3074310.6666666665,460.7,295.8016666666667,117.46666666666665,137.16666666666666,94.40000000000002,292.3666666666667,2.9553015873015878,30.666666666666668,355052.0,98.74515986366521,228.808,76.3,0.3,99.87000503735187,9907.638461538461,774.0,12487.766666666668,1.8080307692307696,8.2,5824.166666666667,123.76666666666667,101.87873333333333,99.454,356.1000000000001,0.67,1255.13,0.83,547.452,4.08,1182.055,1.0,7.342363625540796,-35.468433621215894,-72.02186244215714,-8.338135570853094,-13.551260339992083,-21.22477391580179,-52.09834892336365,12.94729156205154
2012-09-30,783.6999999999999,69.5748,142.20833333333334,98.9411,97.64143333333334,259.9,300.5,1.25,64871.333333333336,329.12466666666666,96.27823333333333,189.1,109.95446969696967,92.20229644268777,100.32440000000001,100.43156666666668,103.21063333333332,100.3562,394.6666666666667,234.16666666666666,261.8666666666667,278.73333333333335,92.16793650793653,3026462.6666666665,460.23333333333335,308.825,114.33333333333333,167.36666666666665,94.06666666666668,283.90000000000003,3.078730158730158,27.333333333333332,357820.0,98.73701712551144,229.841,74.96666666666665,0.26666666666666666,99.68108017299797,10106.307692307695,873.0,12398.4,1.6246031746031748,8.033333333333333,5832.133333333334,123.2,97.2907,100.18700000000001,362.1333333333334,0.65,1295.792,0.59,550.511,4.82,1218.981,1.0,0.6570202476023226,1.092437397211163,-0.15286105605786607,-0.9608677772833867,7.471330406444096,1.9413338504725635,1.9740968790213642,-1.5415366224308193
