DATE,U25SIS
2015-06-01,1.26
2015-07-01,1.33
2015-08-01,1.33
2015-09-01,1.29
2015-10-01,1.35
2015-11-01,1.43
2015-12-01,1.34
2016-01-01,1.49
2016-02-01,1.44
2016-03-01,1.27
2016-04-01,1.35
2016-05-01,1.35
2016-06-01,1.32
2016-07-01,1.46
2016-08-01,1.36
2016-09-01,1.35
2016-10-01,1.41
2016-11-01,1.44
2016-12-01,1.38
2017-01-01,1.48
2017-02-01,1.49
2017-03-01,1.3
2017-04-01,1.39
2017-05-01,1.34
2017-06-01,1.33
2017-07-01,1.44
2017-08-01,1.34
2017-09-01,1.36
2017-10-01,1.38
2017-11-01,1.4
2017-12-01,1.37
2018-01-01,1.42
2018-02-01,1.47
2018-03-01,1.29
2018-04-01,1.36
2018-05-01,1.31
2018-06-01,1.32
2018-07-01,1.4
2018-08-01,1.33
2018-09-01,1.37
2018-10-01,1.34
2018-11-01,1.42
2018-12-01,1.37
2019-01-01,1.44
2019-02-01,1.48
2019-03-01,1.31
2019-04-01,1.34
2019-05-01,1.32
2019-06-01,1.33
2019-07-01,1.37
2019-08-01,1.33
2019-09-01,1.34
2019-10-01,1.32
2019-11-01,1.39
2019-12-01,1.31
2020-01-01,1.39
