DATE,A25SVS
2015-10-01,61027.0
2015-11-01,60432.0
2015-12-01,59909.0
2016-01-01,59970.0
2016-02-01,59291.0
2016-03-01,60027.0
2016-04-01,60163.0
2016-05-01,60138.0
2016-06-01,60206.0
2016-07-01,60050.0
2016-08-01,59668.0
2016-09-01,60744.0
2016-10-01,60382.0
2016-11-01,60210.0
2016-12-01,60793.0
2017-01-01,61088.0
2017-02-01,61686.0
2017-03-01,61655.0
2017-04-01,61960.0
2017-05-01,61316.0
2017-06-01,61491.0
2017-07-01,61751.0
2017-08-01,61668.0
2017-09-01,61895.0
2017-10-01,62718.0
2017-11-01,63852.0
2017-12-01,64060.0
2018-01-01,64217.0
2018-02-01,64302.0
2018-03-01,64361.0
2018-04-01,64374.0
2018-05-01,64863.0
2018-06-01,65456.0
2018-07-01,65320.0
2018-08-01,65719.0
2018-09-01,66010.0
2018-10-01,66006.0
2018-11-01,66658.0
2018-12-01,66793.0
2019-01-01,66464.0
2019-02-01,66494.0
2019-03-01,66572.0
2019-04-01,66079.0
2019-05-01,66672.0
2019-06-01,67169.0
2019-07-01,66837.0
2019-08-01,67437.0
2019-09-01,67413.0
2019-10-01,67615.0
2019-11-01,67816.0
2019-12-01,67956.0
2020-01-01,68035.0
