DATE,SLRTTO01USQ661S
1960-01-01,34.5325789770205
1960-04-01,34.8778800822078
1960-07-01,34.3706587246009
1960-10-01,34.05861310846
1961-01-01,33.7255551660983
1961-04-01,33.750626131508
1961-07-01,34.1956425573433
1961-10-01,35.0971763610317
1962-01-01,35.5538276978736
1962-04-01,36.0195717213447
1962-07-01,36.4406503373101
1962-10-01,37.1998846431937
1963-01-01,37.2086614777137
1963-04-01,37.3388804542367
1963-07-01,37.5864967018756
1963-10-01,38.0477058949551
1964-01-01,38.3088616155536
1964-04-01,39.1675887514062
1964-07-01,39.9647079356941
1964-10-01,39.5076298904445
1965-01-01,41.0473943624497
1965-04-01,41.2827836402797
1965-07-01,42.0040713957394
1965-10-01,43.3801700559107
1966-01-01,43.8795660944346
1966-04-01,43.2649869527945
1966-07-01,43.838322759082
1966-10-01,43.4243554165763
1967-01-01,40.8852290722528
1967-04-01,41.1569666435122
1967-07-01,41.6126808010966
1967-10-01,42.3448245132301
1968-01-01,42.9444456526499
1968-04-01,43.7140881518755
1968-07-01,44.315606804464
1968-10-01,45.0820687242782
1969-01-01,45.0520484759968
1969-04-01,44.6520399924602
1969-07-01,44.5731055571788
1969-10-01,45.0766416647092
1970-01-01,44.7557320591714
1970-04-01,44.9784900661464
1970-07-01,45.3251768440187
1970-10-01,44.8783078131735
1971-01-01,46.4638999170963
1971-04-01,47.1938822358516
1971-07-01,47.8077196304415
1971-10-01,49.0493666189269
1972-01-01,49.1297428451835
1972-04-01,50.4627267565588
1972-07-01,51.4244603585857
1972-10-01,53.048309677417
1973-01-01,54.7073342058852
1973-04-01,53.8857019331013
1973-07-01,53.5190121471341
1973-10-01,52.8287335858322
1974-01-01,51.6187837613622
1974-04-01,51.9788043505339
1974-07-01,52.1955579564921
1974-10-01,49.3977236472622
1975-01-01,49.647210941669
1975-04-01,50.7184040596015
1975-07-01,51.6134621153691
1975-10-01,51.6788493699692
1976-01-01,52.8358837542245
1976-04-01,53.6061309809313
1976-07-01,53.5338421662968
1976-10-01,54.1347889626856
1977-01-01,54.8404212788176
1977-04-01,55.3714601577915
1977-07-01,55.4001060065122
1977-10-01,56.2119998876006
1978-01-01,55.7232731400045
1978-04-01,57.7984295263414
1978-07-01,57.5508222473481
1978-10-01,58.3938806555484
1979-01-01,58.2062322998233
1979-04-01,57.6144305118625
1979-07-01,57.4931563957418
1979-10-01,56.9649923041727
1980-01-01,55.7040819958217
1980-04-01,52.7386530772724
1980-07-01,53.80161460043
1980-10-01,54.1292125438063
1981-01-01,54.6594767527138
1981-04-01,53.5589505812521
1981-07-01,53.2354883512878
1981-10-01,51.7570672643534
1982-01-01,51.6002379905827
1982-04-01,51.3298279207102
1982-07-01,51.0475450051421
1982-10-01,52.4030424118384
1983-01-01,52.8526617874086
1983-04-01,54.37685595373
1983-07-01,55.0931553243911
1983-10-01,56.4181399393571
1984-01-01,57.1954639095598
1984-04-01,57.9444985854287
1984-07-01,57.2595870562572
1984-10-01,58.1248901185657
1985-01-01,58.7474377346106
1985-04-01,59.516626198998
1985-07-01,60.2841425742551
1985-10-01,59.7396395408863
1986-01-01,60.085819919667
1986-04-01,60.8989117455317
1986-07-01,62.6943350133579
1986-10-01,62.8902757090035
1987-01-01,61.8898292544867
1987-04-01,63.2526250185564
1987-07-01,64.0820920679616
1987-10-01,63.5243801196541
1988-01-01,64.5056210395714
1988-04-01,64.8399297159581
1988-07-01,64.8122544843334
1988-10-01,65.9652546021508
1989-01-01,65.7305079330247
1989-04-01,66.148056095158
1989-07-01,66.7900685191514
1989-10-01,66.1219263771157
1990-01-01,66.9990724108014
1990-04-01,66.0918506734327
1990-07-01,65.8646049573229
1990-10-01,64.7657838797717
1991-01-01,63.4380494470209
1991-04-01,64.1814750739613
1991-07-01,63.8895734089238
1991-10-01,63.0207511053289
1992-01-01,63.792061917952
1992-04-01,64.1505496535392
1992-07-01,64.743678947472
1992-10-01,65.3540534199429
1993-01-01,65.7030023909004
1993-04-01,66.7824135244582
1993-07-01,67.7038747827406
1993-10-01,68.6398057137417
1994-01-01,69.731565958702
1994-04-01,70.6624871789796
1994-07-01,71.5210980322626
1994-10-01,72.7045327848709
1995-01-01,72.1911832315936
1995-04-01,72.7122453476518
1995-07-01,73.4367844803037
1995-10-01,73.9249757430433
1996-01-01,74.4424165627574
1996-04-01,75.30271759345
1996-07-01,75.4048236540437
1996-10-01,76.1085415742614
1997-01-01,76.8641239531252
1997-04-01,76.4530158746532
1997-07-01,77.7196772581084
1997-10-01,77.7251793185248
1998-01-01,78.0200843439962
1998-04-01,79.5610189757488
1998-07-01,79.1045864282514
1998-10-01,81.130519262693
1999-01-01,82.5238237223035
1999-04-01,83.664544691614
1999-07-01,84.9454911269163
1999-10-01,86.1799276797651
2000-01-01,87.3182435676515
2000-04-01,86.6154829848558
2000-07-01,86.5728864857369
2000-10-01,86.6072545014462
2001-01-01,86.1830681578011
2001-04-01,86.5249152688838
2001-07-01,85.5358934680914
2001-10-01,88.7262268230727
2002-01-01,86.8637233351366
2002-04-01,87.0418935999962
2002-07-01,87.6591367220897
2002-10-01,87.4769871682379
2003-01-01,87.3289869786804
2003-04-01,88.2081558824279
2003-07-01,90.0335996363354
2003-10-01,90.0103417711196
2004-01-01,90.9075972555142
2004-04-01,91.1886910234106
2004-07-01,91.9987015938438
2004-10-01,93.391852957322
2005-01-01,93.7053009094182
2005-04-01,94.9370761150236
2005-07-01,95.3280904618012
2005-10-01,94.7522545040253
2006-01-01,96.8896342307445
2006-04-01,96.4368552684502
