DATE,USALOLITONOSTSAM
1960-01-01,100.715162713486
1960-02-01,100.448290424795
1960-03-01,100.146253503061
1960-04-01,99.8590751774779
1960-05-01,99.6083071921221
1960-06-01,99.389310053709
1960-07-01,99.1833977749589
1960-08-01,98.9866343316125
1960-09-01,98.7912372174506
1960-10-01,98.622145508219
1960-11-01,98.5085114916139
1960-12-01,98.4847296274378
1961-01-01,98.5700867962023
1961-02-01,98.7832251415746
1961-03-01,99.111791861514
1961-04-01,99.507698096744
1961-05-01,99.9093411948519
1961-06-01,100.282468802785
1961-07-01,100.603135573255
1961-08-01,100.863454267564
1961-09-01,101.052647376256
1961-10-01,101.16782242959
1961-11-01,101.215430941405
1961-12-01,101.185372358724
1962-01-01,101.070696630879
1962-02-01,100.888779160151
1962-03-01,100.639967304094
1962-04-01,100.342525805629
1962-05-01,100.036109247157
1962-06-01,99.763386097408
1962-07-01,99.5696482750694
1962-08-01,99.4664219662029
1962-09-01,99.4532934048917
1962-10-01,99.5165393183481
1962-11-01,99.641120924795
1962-12-01,99.7941905234916
1963-01-01,99.9464521034076
1963-02-01,100.081981842105
1963-03-01,100.192085214584
1963-04-01,100.27030682122
1963-05-01,100.304997603477
1963-06-01,100.2945569758
1963-07-01,100.255556331259
1963-08-01,100.212614625197
1963-09-01,100.186355261107
1963-10-01,100.17278983824
1963-11-01,100.169366120617
1963-12-01,100.19052865258
1964-01-01,100.252865741194
1964-02-01,100.347069879845
1964-03-01,100.450657645302
1964-04-01,100.551196357865
1964-05-01,100.639237959763
1964-06-01,100.713591187747
1964-07-01,100.773052486543
1964-08-01,100.811631653217
1964-09-01,100.847829855336
1964-10-01,100.888637173166
1964-11-01,100.949066745819
1964-12-01,101.021334757749
1965-01-01,101.085001840769
1965-02-01,101.121033207987
1965-03-01,101.120490121625
1965-04-01,101.080105020535
1965-05-01,101.017546206806
1965-06-01,100.95929679417
1965-07-01,100.938856946784
1965-08-01,100.973284939396
1965-09-01,101.068402352935
1965-10-01,101.213752681932
1965-11-01,101.384742927782
1965-12-01,101.548617851654
1966-01-01,101.664718013625
1966-02-01,101.690558417403
1966-03-01,101.604215285652
1966-04-01,101.406387080394
1966-05-01,101.118540044735
1966-06-01,100.793493560035
1966-07-01,100.458018737861
1966-08-01,100.129811615323
1966-09-01,99.8176464796155
1966-10-01,99.5205978730606
1966-11-01,99.2501324026254
1966-12-01,99.0240093956578
1967-01-01,98.8625115925293
1967-02-01,98.780427484406
1967-03-01,98.805981515876
1967-04-01,98.9421288205191
1967-05-01,99.1724289328022
1967-06-01,99.4563644701951
1967-07-01,99.7586771244883
1967-08-01,100.047997408197
1967-09-01,100.296719426531
1967-10-01,100.493071099016
1967-11-01,100.632312763274
1967-12-01,100.714957683296
1968-01-01,100.736362888339
1968-02-01,100.724234336668
1968-03-01,100.696361280657
1968-04-01,100.671760220018
1968-05-01,100.674504687921
1968-06-01,100.705382326741
1968-07-01,100.768306843438
1968-08-01,100.871516184383
1968-09-01,101.013019425925
1968-10-01,101.150219955336
1968-11-01,101.235186584285
1968-12-01,101.250911409004
1969-01-01,101.202782899245
1969-02-01,101.098751760146
1969-03-01,100.946465654197
1969-04-01,100.743296376745
1969-05-01,100.495601895995
1969-06-01,100.241820959803
1969-07-01,100.013484249763
1969-08-01,99.8226919711082
1969-09-01,99.6540406330098
1969-10-01,99.4733242042727
1969-11-01,99.2598844467866
1969-12-01,99.0060245792763
1970-01-01,98.7197590092629
1970-02-01,98.4321553515759
1970-03-01,98.1720072917849
1970-04-01,97.9633568330042
1970-05-01,97.8329606204382
1970-06-01,97.7777308377839
1970-07-01,97.7765607444442
1970-08-01,97.8226542059262
1970-09-01,97.9284235033186
1970-10-01,98.1203061235084
1970-11-01,98.4302116021976
1970-12-01,98.8466458709692
1971-01-01,99.2918541338849
1971-02-01,99.6810826971206
1971-03-01,99.9660638747682
1971-04-01,100.146701792261
1971-05-01,100.236444021227
1971-06-01,100.263796913167
1971-07-01,100.26646195932
1971-08-01,100.283562498072
1971-09-01,100.355540095532
1971-10-01,100.513037410965
1971-11-01,100.767206617446
1971-12-01,101.101213858999
1972-01-01,101.449821062138
1972-02-01,101.756317217003
1972-03-01,101.988889314646
1972-04-01,102.156140567059
1972-05-01,102.280439286161
1972-06-01,102.390389871403
1972-07-01,102.518308235507
1972-08-01,102.68351422537
1972-09-01,102.868090449851
1972-10-01,103.040278483546
1972-11-01,103.176401862746
1972-12-01,103.24738632728
1973-01-01,103.233043221327
1973-02-01,103.1261620172
1973-03-01,102.921876455389
1973-04-01,102.631739348497
1973-05-01,102.289639899154
1973-06-01,101.938973886867
1973-07-01,101.616981440537
1973-08-01,101.353340921514
1973-09-01,101.151739106957
1973-10-01,100.990353676027
1973-11-01,100.827723254428
1973-12-01,100.64597507894
1974-01-01,100.450697612664
1974-02-01,100.220291842815
1974-03-01,99.9353913022871
1974-04-01,99.5767454068411
1974-05-01,99.1532181569994
1974-06-01,98.6792535250191
1974-07-01,98.1707527594441
1974-08-01,97.6440425612309
1974-09-01,97.1087136921795
1974-10-01,96.613413837421
1974-11-01,96.2001872550059
1974-12-01,95.9268651483272
1975-01-01,95.849071435969
1975-02-01,95.9565673976697
1975-03-01,96.2190390150631
1975-04-01,96.6049905408566
1975-05-01,97.0558878626823
1975-06-01,97.5307920740019
1975-07-01,98.0011835577879
1975-08-01,98.4425831017569
1975-09-01,98.851880096545
1975-10-01,99.2418677065731
1975-11-01,99.6249479621898
1975-12-01,100.005449287297
1976-01-01,100.367720509307
1976-02-01,100.66908029072
