DATE,CSCICP03USM665S
1960-01-01,101.481857738961
1960-02-01,101.229432560832
1960-03-01,101.01135899592
1960-04-01,100.891066431288
1960-05-01,100.921436574102
1960-06-01,101.007396998768
1960-07-01,101.025554910044
1960-08-01,100.888240624313
1960-09-01,100.675353564234
1960-10-01,100.498592510216
1960-11-01,100.441258627387
1960-12-01,100.461932485346
1961-01-01,100.509501750974
1961-02-01,100.560181140442
1961-03-01,100.627636963561
1961-04-01,100.746924020295
1961-05-01,100.941646063633
1961-06-01,101.139285028831
1961-07-01,101.234178007582
1961-08-01,101.147577301463
1961-09-01,100.990456460692
1961-10-01,100.911643241965
1961-11-01,101.016472702104
1961-12-01,101.207132668504
1962-01-01,101.343225804881
1962-02-01,101.316501170748
1962-03-01,101.180152610918
1962-04-01,101.00246195972
1962-05-01,100.830066170901
1962-06-01,100.692566538905
1962-07-01,100.628766835373
1962-08-01,100.678015289971
1962-09-01,100.797846641607
1962-10-01,100.945506319385
1962-11-01,101.088891727683
1962-12-01,101.189665203932
1963-01-01,101.190641245874
1963-02-01,101.045785672021
1963-03-01,100.850012215276
1963-04-01,100.726339079277
1963-05-01,100.763963376498
1963-06-01,100.884235246742
1963-07-01,100.983807498223
1963-08-01,100.995137674478
1963-09-01,100.96768974118
1963-10-01,100.979678829543
1963-11-01,101.088594090418
1963-12-01,101.242284525577
1964-01-01,101.366202680759
1964-02-01,101.405873164414
1964-03-01,101.39913344644
1964-04-01,101.398000834924
1964-05-01,101.43694965337
1964-06-01,101.49558131261
1964-07-01,101.540446826329
1964-08-01,101.547186485781
1964-09-01,101.536435680042
1964-10-01,101.540161462411
1964-11-01,101.585489570467
1964-12-01,101.664054869564
1965-01-01,101.767444578736
1965-02-01,101.889404305563
1965-03-01,102.003219670963
1965-04-01,102.070529214461
1965-05-01,102.058281672424
1965-06-01,102.002199066655
1965-07-01,101.942099162619
1965-08-01,101.901053002941
1965-09-01,101.868559727627
1965-10-01,101.822361459908
1965-11-01,101.741705319251
1965-12-01,101.634310415243
1966-01-01,101.505482618452
1966-02-01,101.353968106178
1966-03-01,101.189239789444
1966-04-01,101.017622903734
1966-05-01,100.841634403028
1966-06-01,100.666210923973
1966-07-01,100.501615856665
1966-08-01,100.365781393786
1966-09-01,100.275822167983
1966-10-01,100.27232834842
1966-11-01,100.397783501392
1966-12-01,100.588517043563
1967-01-01,100.7723318205
1967-02-01,100.900853297177
1967-03-01,100.98879751255
1967-04-01,101.054682174852
1967-05-01,101.102115018187
1967-06-01,101.123141712196
1967-07-01,101.093121813092
1967-08-01,100.992010862856
1967-09-01,100.876689082711
1967-10-01,100.824375909047
1967-11-01,100.890255360399
1967-12-01,101.0020927968
1968-01-01,101.059744389973
1968-02-01,100.988708609622
1968-03-01,100.847863551802
1968-04-01,100.71588252735
1968-05-01,100.64745892779
1968-06-01,100.62066705787
1968-07-01,100.605385735117
1968-08-01,100.590090159759
1968-09-01,100.59713323748
1968-10-01,100.671117377174
1968-11-01,100.844927634464
1968-12-01,101.038823794407
1969-01-01,101.136636624477
1969-02-01,101.041878223739
1969-03-01,100.829935703054
1969-04-01,100.585130568313
1969-05-01,100.35496222247
1969-06-01,100.137214082788
1969-07-01,99.9139629727622
1969-08-01,99.6731683078953
1969-09-01,99.4357642518099
1969-10-01,99.2387553636156
1969-11-01,99.114921635341
1969-12-01,99.0321283626283
1970-01-01,98.9556198094199
1970-02-01,98.8692724159296
1970-03-01,98.7905632882633
1970-04-01,98.753068733956
1970-05-01,98.7813245316845
1970-06-01,98.8244716276213
1970-07-01,98.8126179252835
1970-08-01,98.6983087783276
1970-09-01,98.5529982804642
1970-10-01,98.4813532048887
1970-11-01,98.566558293465
1970-12-01,98.7419561247755
1971-01-01,98.9250785034461
1971-02-01,99.0614851067377
1971-03-01,99.1608775837773
1971-04-01,99.2414642862294
1971-05-01,99.3113391252212
1971-06-01,99.3686662028534
1971-07-01,99.4048837987911
1971-08-01,99.4204561193686
1971-09-01,99.4617345272338
1971-10-01,99.6015389671569
1971-11-01,99.8940333033983
1971-12-01,100.231074626171
1972-01-01,100.465114347215
1972-02-01,100.487552308833
1972-03-01,100.410092494666
1972-04-01,100.380762400146
1972-05-01,100.499830178733
1972-06-01,100.687592068509
1972-07-01,100.819157377479
1972-08-01,100.790539357676
1972-09-01,100.640942660085
1972-10-01,100.408299924515
1972-11-01,100.105787047275
1972-12-01,99.7813844868141
1973-01-01,99.4819197895067
1973-02-01,99.2389997974898
1973-03-01,99.0300049945093
1973-04-01,98.8325430524058
1973-05-01,98.6449771874101
1973-06-01,98.4954216567161
1973-07-01,98.4369949231786
1973-08-01,98.5050624868621
1973-09-01,98.5833509182801
1973-10-01,98.5089617246348
1973-11-01,98.1671643483201
1973-12-01,97.7388667904903
1974-01-01,97.4770136496283
1974-02-01,97.5694843416285
1974-03-01,97.8355469029133
1974-04-01,98.0295514598704
1974-05-01,97.9710318301588
1974-06-01,97.7468651271902
1974-07-01,97.4736298315882
1974-08-01,97.2256109370592
1974-09-01,97.011873687743
1974-10-01,96.8358160272108
1974-11-01,96.7204394010966
1974-12-01,96.6959399720986
1975-01-01,96.8420064205111
1975-02-01,97.239240546486
1975-03-01,97.7500119960374
1975-04-01,98.2058547431894
1975-05-01,98.4813262473927
1975-06-01,98.6227953144951
1975-07-01,98.6845119588727
1975-08-01,98.6986797015083
1975-09-01,98.725280291948
1975-10-01,98.8340597120524
1975-11-01,99.0740813307889
1975-12-01,99.3611002305141
1976-01-01,99.5837044480818
1976-02-01,99.6624589349623
